"STATION","DATE","PRCP","TMAX","TMIN"
"USW00094290","1995-01-03","0.00","52","31"
"USW00094290","1995-01-04","0.00","50","29"
"USW00094290","1995-01-05","0.00","44","29"
"USW00094290","1995-01-06","0.00","40","28"
"USW00094290","1995-01-07","0.34","46","34"
"USW00094290","1995-01-08","0.24","52","34"
"USW00094290","1995-01-09","0.38","51","43"
"USW00094290","1995-01-10","0.04","53","42"
"USW00094290","1995-01-11","0.16","53","42"
"USW00094290","1995-01-12","0.19","47","40"
"USW00094290","1995-01-13","0.21","53","41"
"USW00094290","1995-01-14","0.35","50","43"
"USW00094290","1995-01-15","0.01","46","41"
"USW00094290","1995-01-16","0.08","44","40"
"USW00094290","1995-01-17","0.09","43","38"
"USW00094290","1995-01-18","0.13","51","41"
"USW00094290","1995-01-19","0.00","52","33"
"USW00094290","1995-01-20","0.00","62","40"
"USW00094290","1995-01-21","0.00","59","36"
"USW00094290","1995-01-22","0.00","58","37"
"USW00094290","1995-01-23","0.00","52","34"
"USW00094290","1995-01-24","0.00","57","38"
"USW00094290","1995-01-25","0.00","51","35"
"USW00094290","1995-01-26","0.05","55","40"
"USW00094290","1995-01-27","0.00","53","37"
"USW00094290","1995-01-28","0.37","52","42"
"USW00094290","1995-01-29","0.59","55","45"
"USW00094290","1995-01-30","0.71","58","46"
"USW00094290","1995-01-31","0.81","57","48"
"USW00094290","1995-02-01","0.21","54","47"
"USW00094290","1995-02-02","0.00","49","39"
"USW00094290","1995-02-03","0.00","54","41"
"USW00094290","1995-02-04","0.00","55","43"
"USW00094290","1995-02-05","0.00","55","42"
"USW00094290","1995-02-06","0.02","50","46"
"USW00094290","1995-02-07","0.00","53","42"
"USW00094290","1995-02-08","0.00","56","36"
"USW00094290","1995-02-09","0.00","55","33"
"USW00094290","1995-02-10","0.00","47","36"
"USW00094290","1995-02-11","0.09","44","40"
"USW00094290","1995-02-12","0.00","40","29"
"USW00094290","1995-02-13","0.00","50","37"
"USW00094290","1995-02-14","0.56","44","41"
"USW00094290","1995-02-15","0.37","41","28"
"USW00094290","1995-02-16","0.39","47","41"
"USW00094290","1995-02-17","0.31","53","44"
"USW00094290","1995-02-18","0.94","55","43"
"USW00094290","1995-02-19","0.06","56","50"
"USW00094290","1995-02-20","0.00","59","47"
"USW00094290","1995-02-21","0.00","52","43"
"USW00094290","1995-02-22","0.00","55","38"
"USW00094290","1995-02-23","0.00","57","36"
"USW00094290","1995-02-24","0.14","49","45"
"USW00094290","1995-02-25","0.00","49","38"
"USW00094290","1995-02-26","0.00","50","33"
"USW00094290","1995-02-27","0.00","49","30"
"USW00094290","1995-02-28","0.00","51","32"
"USW00094290","1995-03-01","0.00","49","31"
"USW00094290","1995-03-02","0.00","51","29"
"USW00094290","1995-03-03","0.00","53","29"
"USW00094290","1995-03-04","0.03","48","39"
"USW00094290","1995-03-05","0.12","41","35"
"USW00094290","1995-03-06","0.00","41","34"
"USW00094290","1995-03-07","0.00","52","33"
"USW00094290","1995-03-08","0.51","48","40"
"USW00094290","1995-03-09","0.62","64","46"
"USW00094290","1995-03-10","0.52","56","46"
"USW00094290","1995-03-11","0.20","54","45"
"USW00094290","1995-03-12","0.01","54","43"
"USW00094290","1995-03-13","0.47","57","44"
"USW00094290","1995-03-14","0.79","61","44"
"USW00094290","1995-03-15","0.01","54","40"
"USW00094290","1995-03-16","0.00","58","37"
"USW00094290","1995-03-17","0.12","60","43"
"USW00094290","1995-03-18","0.27","55","47"
"USW00094290","1995-03-19","0.13","53","43"
"USW00094290","1995-03-20","0.44","55","45"
"USW00094290","1995-03-21","0.10","49","36"
"USW00094290","1995-03-22","0.04","50","36"
"USW00094290","1995-03-23","0.39","41","38"
"USW00094290","1995-03-24","0.30","46","35"
